full_text,username,screen_name,location,is_verified,quote_count,favorite_count,retweet_count,reply_count,created_at,tweet_id
"Guest Co Host: Amber M.
#PoseFX #MjRodriguez #IndyaMoore #DomoniqueJackson #AngelicaRoss #HailieSahar #AlexiaGarcia #BillyPorter #RyanJamalSwain #DyllonBurnside #AngelCuriel #ChristopherMeloni #Vogue #TransLivesMatter #LGBTQ #podcast
#HouseofEvangelista
https://t.co/9IP1tZg5sk",Mike Brooklyn,MikeBrooklyn,,False,0,0,0,0,Wed Dec 30 23:41:22 +0000 2020,1.34443e+18
"Guest Co Host: Kym
#StopTheHate #StopTheKillings #LGBTQ #truecrime #houseofxtravaganza #houseofdupree #ColdCase #AllBlackLivesMatter #TransLivesMatter #podcast #socialjustice #nbc4ny #ATL #NOLA #NYC #AJC #ChynaGibson #LorenaXtravaganza
#TraceyThompson 
https://t.co/W9nBhiUeEa",Mike Brooklyn,MikeBrooklyn,,False,0,0,0,0,Wed Dec 30 23:39:55 +0000 2020,1.34443e+18
"RT @walkingtheblade: Something my son shared with me. Hozier still top tier. 
#TransLivesMatter #TransIsBeautiful #blackTRANSlivesmatter #NOH8 
See the entirety at the link: 
https://t.co/A0cm0JM0fZ https://t.co/piAtCtoHU0",Bree Lodjureten 🌈🐈 Author,Blackindiaink,Chilling with my Holmies. ,False,0,0,0,0,Wed Dec 30 23:29:17 +0000 2020,1.34443e+18
"RT @EmmsyEmma: To death threats. I don’t know why they waste their time, there is NOTHING they can say or do that will stop me supporting my daughter!!!   #LGBT #LGBTQIA2020 #TransLivesMatter #TransRightsAreHumanRights #AffirmTransKids https://t.co/8Lt0XeRVE8",Simon Blanckensee (he/him/my duck),so_simple_simon,Greystones,False,0,0,0,0,Wed Dec 30 23:02:03 +0000 2020,1.34442e+18
"Feeling pretty in my new sweater I got for Christmas.  So warm and fuzzy!   I hope everyone is doing well.  Hugs 💋💋💋

#feelingpretty #fuzzysweater #transpride🌈 #transgirlsrockthisworld #transisbeautiful #translivesmatter #holidayseason https://t.co/R751TMcFFi","Kristiana Rose Alexa, The Musical Librarian",AlexaKristana,"Grande Prairie, Alberta",False,0,0,0,2,Wed Dec 30 22:49:32 +0000 2020,1.34442e+18
"RT @EmmsyEmma: To death threats. I don’t know why they waste their time, there is NOTHING they can say or do that will stop me supporting my daughter!!!   #LGBT #LGBTQIA2020 #TransLivesMatter #TransRightsAreHumanRights #AffirmTransKids https://t.co/8Lt0XeRVE8",R Foote,reafoote2,,False,0,0,0,0,Wed Dec 30 22:48:32 +0000 2020,1.34442e+18
"RT @EmmsyEmma: To death threats. I don’t know why they waste their time, there is NOTHING they can say or do that will stop me supporting my daughter!!!   #LGBT #LGBTQIA2020 #TransLivesMatter #TransRightsAreHumanRights #AffirmTransKids https://t.co/8Lt0XeRVE8",Piping Hot Gazpacho Soup,According2A_S_H,"Glasgow, Scotland",False,0,0,0,0,Wed Dec 30 22:39:19 +0000 2020,1.34441e+18
"Comedian @frankieboyle called Out @rickygervais for “lazy” Jokes About Trans People....

#Pride #WontBeErased #StopTheHate #EqualityAct #NoTransBan 
#TransIsBeautiful #TransLivesMatter #DefyTheName #LoveIsLove
https://t.co/IcKToeKu28",Jhawn Paul,PinkSheepNews,"Collinsport, Maine",False,0,0,0,1,Wed Dec 30 22:35:07 +0000 2020,1.34441e+18
One of the most incredibly moving documentary’s #disclosure on @NetflixUK. #TransLivesMatter,Ｆｅｌｉｘ Ｂｒｕｎｇｅｒ,felix_brunger,"London, England",False,0,0,0,0,Wed Dec 30 22:15:37 +0000 2020,1.34441e+18
"RT @EmmsyEmma: To death threats. I don’t know why they waste their time, there is NOTHING they can say or do that will stop me supporting my daughter!!!   #LGBT #LGBTQIA2020 #TransLivesMatter #TransRightsAreHumanRights #AffirmTransKids https://t.co/8Lt0XeRVE8",Amy🦋,AmyJamiC,"California, USA",False,0,0,0,0,Wed Dec 30 22:15:15 +0000 2020,1.34441e+18
"RT @FlavAlves: BREAKING NEWS!!  The @DallasVoice named @tglbmovie (The Garden Left Behind) as one of the Best LGBTQ+ movies of 2020. #MustWatch #bestmoviesof2020 #certifiedfresh #transfilm #translivesmatter. Available on @Amazon @iTunes @GooglePlay and more. 
https://t.co/rWOfLwKI9m",Bernadette Quigley,quigdette,NYC,False,0,0,0,0,Wed Dec 30 22:02:00 +0000 2020,1.3444e+18
"Something my son shared with me. Hozier still top tier. 
#TransLivesMatter #TransIsBeautiful #blackTRANSlivesmatter #NOH8 
See the entirety at the link: 
https://t.co/A0cm0JM0fZ https://t.co/piAtCtoHU0",Rachel D. Adams (she/her),walkingtheblade,North Carolina,False,0,0,3,0,Wed Dec 30 22:01:26 +0000 2020,1.3444e+18
"She is the father, the son, and Tiffany’s ghost. #TransLivesMatter 😂🤣😂🤣🤣😂 now bitch try a hoe that will read you back!!!! Idc stop letting these people apologize for they ignorance. She a grown ass women and knows exactly what she is doing and saying. https://t.co/QVnEhPPWkB",TheBestHeadNTexas,LegallyBarbee,"Texas, USA",False,0,0,0,0,Wed Dec 30 21:57:58 +0000 2020,1.3444e+18
"Goodbye VP Homophobic! FYI, conversion therapy doesn’t work &amp; is actually torture. #Gaylivesmatter        #TransLivesMatter #LGBTQIA2020 https://t.co/yyenfig30g",Kathleen Fox Polizzi,cornerworker,IL land of corruption,False,0,0,0,0,Wed Dec 30 21:43:29 +0000 2020,1.3444e+18
Thank you ⁦@RicardoLara4CA!  Our #trans kids will have easier lives because of your actions. ⁩#BlackTransLivesMatter #TransLivesMatter #TransRightsAreHumanRights #TransIsBeautiful ⁦@TransLawCenter⁩ ⁦@TransEquality⁩ ⁦@huffpostqueer⁩ https://t.co/nOiFIeMiVs,Zak #PassSenateBill1 Zoah 🌈,zakzoah,"Las Vegas, NV",False,0,0,0,0,Wed Dec 30 21:19:03 +0000 2020,1.34439e+18
"RT @MikeBrooklyn: New Episode!
Guest Co Host: Chris from Men Like Us Podcast
#relationships #petpeeves #toowongfoo #mjrodriguez #PoseFX #saturdaychurch #transamorous #TransRightsAreHumanRights #TransLivesMatter #podcasts #PodernFamily 
https://t.co/XPAT5ycTC0",Excocet Missile,Excocet,Around,False,0,0,0,0,Wed Dec 30 21:14:51 +0000 2020,1.34439e+18
"RT @MikeBrooklyn: Guest Co Host: Amber M.
#PoseFX #MjRodriguez #IndyaMoore #DomoniqueJackson #AngelicaRoss #HailieSahar #AlexiaGarcia #BillyPorter #RyanJamalSwain #DyllonBurnside #AngelCuriel #ChristopherMeloni #Vogue #TransLivesMatter #LGBTQ #podcasts
#HouseofEvangelista
https://t.co/9IP1tZg5sk",Excocet Missile,Excocet,Around,False,0,0,0,0,Wed Dec 30 21:13:01 +0000 2020,1.34439e+18
"RT @MikeBrooklyn: New Episode!
Guest Co Host: Chris from Men Like Us Podcast
#relationships #petpeeves #toowongfoo #mjrodriguez #PoseFX #saturdaychurch #transamorous #TransRightsAreHumanRights #TransLivesMatter #podcasts #PodernFamily 
https://t.co/XPAT5ycTC0",Mike Brooklyn,MikeBrooklyn,,False,0,0,0,0,Wed Dec 30 21:12:07 +0000 2020,1.34439e+18
"RT @MikeBrooklyn: Guest Co Host: Amber M.
#PoseFX #MjRodriguez #IndyaMoore #DomoniqueJackson #AngelicaRoss #HailieSahar #AlexiaGarcia #BillyPorter #RyanJamalSwain #DyllonBurnside #AngelCuriel #ChristopherMeloni #Vogue #TransLivesMatter #LGBTQ #podcasts
#HouseofEvangelista
https://t.co/9IP1tZg5sk",Mike Brooklyn,MikeBrooklyn,,False,0,0,0,0,Wed Dec 30 21:11:28 +0000 2020,1.34439e+18
"RT @MikeBrooklyn: Guest Co Host: Kym
#StopTheHate #StopTheKillings #LGBTQ #truecrime #houseofxtravaganza #houseofdupree #ColdCase #AllBlackLivesMatter #TransLivesMatter #podcast #socialjustice #abc7ny #ATL #NOLA #NYC #AJC #ChynaGibson #LorenaXtravaganza
#TraceyThompson 
https://t.co/W9nBhiUeEa",Mike Brooklyn,MikeBrooklyn,,False,0,0,0,0,Wed Dec 30 21:11:25 +0000 2020,1.34439e+18
"RT @SVTVNetwork: “Trade”:
“Be Yourself, Everyone Else is Taken” ✊🏽🎬
""TRADE""; is a dark love story that focuses on self-identity, exploration and ones fight for acceptance, which hits home with so many individuals today who fear from the backlash of being gay #trans #transfilm #translivesmatter https://t.co/a6ipYSeLq7",eileen shapiro,EileenShapiro3,,False,0,0,0,0,Wed Dec 30 21:05:31 +0000 2020,1.34439e+18
"“Trade”:
“Be Yourself, Everyone Else is Taken” ✊🏽🎬
""TRADE""; is a dark love story that focuses on self-identity, exploration and ones fight for acceptance, which hits home with so many individuals today who fear from the backlash of being gay #trans #transfilm #translivesmatter https://t.co/a6ipYSeLq7",SVTV Network,SVTVNetwork,,False,0,0,1,0,Wed Dec 30 20:06:07 +0000 2020,1.34437e+18
"All my opinions are unpopular opinions. 
Discrimination=wrong. Abuse=wrong. Nonhuman animals&gt;human animals. Life=magical+also filled with dumbasses. Swearing👍. Capitalism👎.

Feeling sassy today. Support
#BLM #LGBTQ #TransLivesMatter #IndigenousLivesMatter https://t.co/qeY4SOXdkK",Catherine Milos,CatherineMilos,Canada,False,0,0,0,0,Wed Dec 30 19:51:50 +0000 2020,1.34437e+18
"RT @PlanBianca: We need to actively support our #trans brothers and sisters, stand up against the injustices they face, and bring light to the atrocities that can occur from psychological harm. #TransLivesMatter https://t.co/o0viigD0ip",Anthony Vincent,2kidds,,False,0,0,0,0,Wed Dec 30 18:39:36 +0000 2020,1.34435e+18
"RT @EmmsyEmma: To death threats. I don’t know why they waste their time, there is NOTHING they can say or do that will stop me supporting my daughter!!!   #LGBT #LGBTQIA2020 #TransLivesMatter #TransRightsAreHumanRights #AffirmTransKids https://t.co/8Lt0XeRVE8",Ephemerawoman,ephemeragrrl,,False,0,0,0,0,Wed Dec 30 18:15:21 +0000 2020,1.34435e+18
"To death threats. I don’t know why they waste their time, there is NOTHING they can say or do that will stop me supporting my daughter!!!   #LGBT #LGBTQIA2020 #TransLivesMatter #TransRightsAreHumanRights #AffirmTransKids https://t.co/8Lt0XeRVE8",Emma Williams AKA Emilys mum 🏳️‍⚧️🏳️‍🌈,EmmsyEmma,"Liverpool, England.",False,1,1,8,9,Wed Dec 30 18:08:21 +0000 2020,1.34434e+18
"@MightyRebekah Hi Rebekah just wanted to say I saw your episode of marvel's hero project and it made me weep. I'm an in closet Enby Demigirl and it means the world to me to see someone so young using her voice for good. So thank you 🏳️‍🌈 
#TransLivesMatter",Melody 💜💜,clare_melody,,False,0,0,0,0,Wed Dec 30 18:03:05 +0000 2020,1.34434e+18
@RealCandaceO @hilariabaldwin Transgender women ARE women. Your hate speech has consequences. #TransLivesMatter,lolita maeweathers,lolitamaeweathe,"Bronx, NY",False,0,0,0,0,Wed Dec 30 17:46:39 +0000 2020,1.34434e+18
Check out Power Crystal! Available via @Teespring: https://t.co/iNSLS522sw and link in bio! #powercrystal #crystallove #powercrystals #spiritualawakening #mindfulness #quartz #lawofattraction #crystals #clearquartz #pagan #healing #crystalhealing  #crystal #translivesmatter #PMA,You're neat.¹³¹²,___ENDPOINT,,False,0,0,0,0,Wed Dec 30 17:42:07 +0000 2020,1.34434e+18
"RT @PlanBianca: We need to actively support our #trans brothers and sisters, stand up against the injustices they face, and bring light to the atrocities that can occur from psychological harm. #TransLivesMatter https://t.co/o0viigD0ip",Mattie 🏳️‍🌈 ♍,Matdredalia,Endless worlds in my head. ,False,0,0,0,0,Wed Dec 30 17:33:23 +0000 2020,1.34434e+18
"We need to actively support our #trans brothers and sisters, stand up against the injustices they face, and bring light to the atrocities that can occur from psychological harm. #TransLivesMatter https://t.co/o0viigD0ip",Bianca,PlanBianca,"San Francisco, CA",False,0,0,2,3,Wed Dec 30 17:11:03 +0000 2020,1.34433e+18
