full_text,entities,username,screen_name,location,is_verified,quote_count,favorite_count,retweet_count,reply_count,created_at,tweet_id
"RT @TeamLucmanML: We will keep fighting for justice for Noor Muqaddam 

Twitter Space with @mubasherlucman 

#noormukadam #noormuqaddam #JusticeForNoormukadam #zahirjaffer #pakistan @kajolmanshad https://t.co/TrWWinoQaC","{'hashtags': [{'text': 'noormukadam', 'indices': [91, 103]}, {'text': 'noormuqaddam', 'indices': [104, 117]}, {'text': 'JusticeForNoormukadam', 'indices': [118, 140]}, {'text': 'zahirjaffer', 'indices': [141, 153]}, {'text': 'pakistan', 'indices': [154, 163]}], 'urls': [], 'user_mentions': [{'screen_name': 'mubasherlucman', 'name': 'Mubasher Lucman', 'id': 54610518, 'id_str': '54610518', 'indices': [73, 88]}, {'screen_name': 'kajolmanshad', 'name': 'Kajal Manshad', 'id': 1480128896, 'id_str': '1480128896', 'indices': [164, 177]}], 'symbols': [], 'media': [{'id': 1484962445424799751, 'id_str': '1484962445424799751', 'indices': [178, 201], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1484962445424799751/pu/img/e3OoNPDy-fuCUJm2.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1484962445424799751/pu/img/e3OoNPDy-fuCUJm2.jpg', 'url': 'https://t.co/TrWWinoQaC', 'display_url': 'pic.twitter.com/TrWWinoQaC', 'expanded_url': 'https://twitter.com/TeamLucmanML/status/1484962761750814722/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [414, 433], 'duration_millis': 90545, 'variants': [{'bitrate': 950000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/vid/480x502/6URWlxqbAw_QPF2L.mp4?tag=12'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/vid/720x752/smDNCWGh8FkjOefj.mp4?tag=12'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/pl/-eNgDanY3i45U2Jc.m3u8?tag=12&container=fmp4'}, {'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/vid/320x334/-qpBzuXF66J_6hWV.mp4?tag=12'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 828, 'h': 866, 'resize': 'fit'}, 'medium': {'w': 828, 'h': 866, 'resize': 'fit'}, 'small': {'w': 650, 'h': 680, 'resize': 'fit'}}}]}",Taha طہ,Taahaa_,وسیب,True,0,0,0,0,Sat Jan 22 23:12:36 +0000 2022,1485027649114279940
"RT @TeamLucmanML: Noor Muqaddam Case
Will Noor Get Justice ??

Join our twitter space with @mubasherlucman 
Saturday 22nd January at 9PM (PST)
👇🏻👇🏻👇🏻
https://t.co/W7ARx80YHR

#NoorMukadam #noormuqaddam #noormukaddam #ZahirJaffar #zahirjaffer #pakistan # https://t.co/o26Fy7RTwV","{'hashtags': [{'text': 'NoorMukadam', 'indices': [157, 169]}, {'text': 'noormuqaddam', 'indices': [170, 183]}, {'text': 'noormukaddam', 'indices': [184, 197]}, {'text': 'ZahirJaffar', 'indices': [198, 210]}, {'text': 'zahirjaffer', 'indices': [211, 223]}, {'text': 'pakistan', 'indices': [224, 233]}], 'urls': [{'url': 'https://t.co/W7ARx80YHR', 'expanded_url': 'https://twitter.com/mubasherlucman?s=21', 'display_url': 'twitter.com/mubasherlucman…', 'indices': [132, 155]}], 'user_mentions': [{'screen_name': 'mubasherlucman', 'name': 'Mubasher Lucman', 'id': 54610518, 'id_str': '54610518', 'indices': [73, 88]}], 'symbols': [], 'media': [{'id': 1484575913291493384, 'id_str': '1484575913291493384', 'indices': [236, 259], 'media_url': 'http://pbs.twimg.com/media/FJpF7XHXMAgTfzx.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FJpF7XHXMAgTfzx.jpg', 'url': 'https://t.co/o26Fy7RTwV', 'display_url': 'pic.twitter.com/o26Fy7RTwV', 'expanded_url': 'https://twitter.com/TeamLucmanML/status/1484575918928670726/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1024, 'h': 577, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 577, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",Mujtaba malik,Mujtaba94906194,,False,0,0,0,0,Sat Jan 22 22:51:26 +0000 2022,1485022320624533506
"RT @TeamLucmanML: Moral Degradation In Our Society 

Twitter Space with @mubasherlucman 

#noormukadam #noormuqaddam #JusticeForNoormukadam #zahirjaffer #pakistan @kajolmanshad @SeharKamran https://t.co/AfFy1U0vMr","{'hashtags': [{'text': 'noormukadam', 'indices': [72, 84]}, {'text': 'noormuqaddam', 'indices': [85, 98]}, {'text': 'JusticeForNoormukadam', 'indices': [99, 121]}, {'text': 'zahirjaffer', 'indices': [122, 134]}, {'text': 'pakistan', 'indices': [135, 144]}], 'urls': [], 'user_mentions': [{'screen_name': 'mubasherlucman', 'name': 'Mubasher Lucman', 'id': 54610518, 'id_str': '54610518', 'indices': [54, 69]}, {'screen_name': 'kajolmanshad', 'name': 'Kajal Manshad', 'id': 1480128896, 'id_str': '1480128896', 'indices': [145, 158]}, {'screen_name': 'SeharKamran', 'name': 'Senator Sehar Kamran T.I.', 'id': 43112080, 'id_str': '43112080', 'indices': [159, 171]}], 'symbols': [], 'media': [{'id': 1484951057344122881, 'id_str': '1484951057344122881', 'indices': [172, 195], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1484951057344122881/pu/img/2RxWxNFGXs7C6zdZ.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1484951057344122881/pu/img/2RxWxNFGXs7C6zdZ.jpg', 'url': 'https://t.co/AfFy1U0vMr', 'display_url': 'pic.twitter.com/AfFy1U0vMr', 'expanded_url': 'https://twitter.com/TeamLucmanML/status/1484951544646754306/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [69, 52], 'duration_millis': 140001, 'variants': [{'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484951057344122881/pu/vid/828x624/fe8kBWPooKw9n9M8.mp4?tag=12'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484951057344122881/pu/vid/476x360/4heRV8w18PS3ZDB7.mp4?tag=12'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484951057344122881/pu/vid/358x270/sV8amkPjwakpczvk.mp4?tag=12'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1484951057344122881/pu/pl/7Be-72BBSy-2A_Ds.m3u8?tag=12&container=fmp4'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 512, 'resize': 'fit'}, 'medium': {'w': 828, 'h': 624, 'resize': 'fit'}, 'large': {'w': 828, 'h': 624, 'resize': 'fit'}}}]}",Kajal Manshad,kajolmanshad,🇮🇹 🇵🇰 🇬🇧,False,0,0,0,0,Sat Jan 22 21:50:37 +0000 2022,1485007017286803457
"@mubasherlucman Why have you stopped covering the case???
Initially you were so active but now we see Just Silence. Have you been Silenced by Rich Jaffers/Adamjee or lost interest because were not getting enough Views or what???
Very Disappointed in you #JusticeForNoor","{'hashtags': [{'text': 'JusticeForNoor', 'indices': [254, 269]}], 'urls': [], 'user_mentions': [{'screen_name': 'mubasherlucman', 'name': 'Mubasher Lucman', 'id': 54610518, 'id_str': '54610518', 'indices': [0, 15]}], 'symbols': []}",Flory Schober,FlorySchober,,False,0,0,0,0,Sat Jan 22 21:34:26 +0000 2022,1485002942155563011
"RT @TeamLucmanML: In the last 14 years there have been over 8,00 acid and kerosene burning cases in Pakistan and not even one victim has been given justice 

Twitter Space with @mubasherlucman 

#noormukadam #noormuqaddam #JusticeForNoormukadam #zahirjaffer #pakistan @kajolmanshad @SeharKamran https://t.co/CMNvw58wZh","{'hashtags': [{'text': 'noormukadam', 'indices': [177, 189]}, {'text': 'noormuqaddam', 'indices': [190, 203]}, {'text': 'JusticeForNoormukadam', 'indices': [204, 226]}, {'text': 'zahirjaffer', 'indices': [227, 239]}, {'text': 'pakistan', 'indices': [240, 249]}], 'urls': [], 'user_mentions': [{'screen_name': 'mubasherlucman', 'name': 'Mubasher Lucman', 'id': 54610518, 'id_str': '54610518', 'indices': [159, 174]}, {'screen_name': 'kajolmanshad', 'name': 'Kajal Manshad', 'id': 1480128896, 'id_str': '1480128896', 'indices': [250, 263]}, {'screen_name': 'SeharKamran', 'name': 'Senator Sehar Kamran T.I.', 'id': 43112080, 'id_str': '43112080', 'indices': [264, 276]}], 'symbols': [], 'media': [{'id': 1484948887202938894, 'id_str': '1484948887202938894', 'indices': [277, 300], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1484948887202938894/pu/img/nu5PvFw5azjGGWmB.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1484948887202938894/pu/img/nu5PvFw5azjGGWmB.jpg', 'url': 'https://t.co/CMNvw58wZh', 'display_url': 'pic.twitter.com/CMNvw58wZh', 'expanded_url': 'https://twitter.com/TeamLucmanML/status/1484949001791279109/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [69, 73], 'duration_millis': 140006, 'variants': [{'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484948887202938894/pu/vid/720x760/zl622tufUpmg4e-d.mp4?tag=12'}, {'bitrate': 950000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484948887202938894/pu/vid/480x506/y4iWbFsU1hyjLZRL.mp4?tag=12'}, {'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484948887202938894/pu/vid/320x338/6JOGPxrCYy2o5px8.mp4?tag=12'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1484948887202938894/pu/pl/Q7csMuOjeXshcuiG.m3u8?tag=12&container=fmp4'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 828, 'h': 876, 'resize': 'fit'}, 'small': {'w': 643, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 828, 'h': 876, 'resize': 'fit'}}}]}",Senator Sehar Kamran T.I.,SeharKamran,"Islamabad, Pakistan",True,0,0,0,0,Sat Jan 22 21:30:48 +0000 2022,1485002031194644480
"RT @TeamLucmanML: We will keep fighting for justice for Noor Muqaddam 

Twitter Space with @mubasherlucman 

#noormukadam #noormuqaddam #JusticeForNoormukadam #zahirjaffer #pakistan @kajolmanshad @SeharKamran https://t.co/oZJRdfyInz","{'hashtags': [{'text': 'noormukadam', 'indices': [91, 103]}, {'text': 'noormuqaddam', 'indices': [104, 117]}, {'text': 'JusticeForNoormukadam', 'indices': [118, 140]}, {'text': 'zahirjaffer', 'indices': [141, 153]}, {'text': 'pakistan', 'indices': [154, 163]}], 'urls': [], 'user_mentions': [{'screen_name': 'mubasherlucman', 'name': 'Mubasher Lucman', 'id': 54610518, 'id_str': '54610518', 'indices': [73, 88]}, {'screen_name': 'kajolmanshad', 'name': 'Kajal Manshad', 'id': 1480128896, 'id_str': '1480128896', 'indices': [164, 177]}, {'screen_name': 'SeharKamran', 'name': 'Senator Sehar Kamran T.I.', 'id': 43112080, 'id_str': '43112080', 'indices': [178, 190]}], 'symbols': [], 'media': [{'id': 1484962445424799751, 'id_str': '1484962445424799751', 'indices': [191, 214], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1484962445424799751/pu/img/e3OoNPDy-fuCUJm2.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1484962445424799751/pu/img/e3OoNPDy-fuCUJm2.jpg', 'url': 'https://t.co/oZJRdfyInz', 'display_url': 'pic.twitter.com/oZJRdfyInz', 'expanded_url': 'https://twitter.com/TeamLucmanML/status/1484962548613107713/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [414, 433], 'duration_millis': 90545, 'variants': [{'bitrate': 950000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/vid/480x502/6URWlxqbAw_QPF2L.mp4?tag=12'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/vid/720x752/smDNCWGh8FkjOefj.mp4?tag=12'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/pl/-eNgDanY3i45U2Jc.m3u8?tag=12&container=fmp4'}, {'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/vid/320x334/-qpBzuXF66J_6hWV.mp4?tag=12'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 828, 'h': 866, 'resize': 'fit'}, 'medium': {'w': 828, 'h': 866, 'resize': 'fit'}, 'small': {'w': 650, 'h': 680, 'resize': 'fit'}}}]}",Senator Sehar Kamran T.I.,SeharKamran,"Islamabad, Pakistan",True,0,0,0,0,Sat Jan 22 21:29:58 +0000 2022,1485001821756272640
"RT @TeamLucmanML: In the last 14 years there have been over 8,00 acid and kerosene burning cases in Pakistan and not even one victim has been given justice 

Twitter Space with @mubasherlucman 

#noormukadam #noormuqaddam #JusticeForNoormukadam #zahirjaffer #pakistan @kajolmanshad @SeharKamran https://t.co/CMNvw58wZh","{'hashtags': [{'text': 'noormukadam', 'indices': [177, 189]}, {'text': 'noormuqaddam', 'indices': [190, 203]}, {'text': 'JusticeForNoormukadam', 'indices': [204, 226]}, {'text': 'zahirjaffer', 'indices': [227, 239]}, {'text': 'pakistan', 'indices': [240, 249]}], 'urls': [], 'user_mentions': [{'screen_name': 'mubasherlucman', 'name': 'Mubasher Lucman', 'id': 54610518, 'id_str': '54610518', 'indices': [159, 174]}, {'screen_name': 'kajolmanshad', 'name': 'Kajal Manshad', 'id': 1480128896, 'id_str': '1480128896', 'indices': [250, 263]}, {'screen_name': 'SeharKamran', 'name': 'Senator Sehar Kamran T.I.', 'id': 43112080, 'id_str': '43112080', 'indices': [264, 276]}], 'symbols': [], 'media': [{'id': 1484948887202938894, 'id_str': '1484948887202938894', 'indices': [277, 300], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1484948887202938894/pu/img/nu5PvFw5azjGGWmB.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1484948887202938894/pu/img/nu5PvFw5azjGGWmB.jpg', 'url': 'https://t.co/CMNvw58wZh', 'display_url': 'pic.twitter.com/CMNvw58wZh', 'expanded_url': 'https://twitter.com/TeamLucmanML/status/1484949001791279109/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [69, 73], 'duration_millis': 140006, 'variants': [{'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484948887202938894/pu/vid/720x760/zl622tufUpmg4e-d.mp4?tag=12'}, {'bitrate': 950000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484948887202938894/pu/vid/480x506/y4iWbFsU1hyjLZRL.mp4?tag=12'}, {'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484948887202938894/pu/vid/320x338/6JOGPxrCYy2o5px8.mp4?tag=12'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1484948887202938894/pu/pl/Q7csMuOjeXshcuiG.m3u8?tag=12&container=fmp4'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 828, 'h': 876, 'resize': 'fit'}, 'small': {'w': 643, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 828, 'h': 876, 'resize': 'fit'}}}]}",Office of SK,SeharKOffice,"Islamabad, Pakistan",False,0,0,0,0,Sat Jan 22 21:27:55 +0000 2022,1485001304653107203
"RT @TeamLucmanML: We will keep fighting for justice for Noor Muqaddam 

Twitter Space with @mubasherlucman 

#noormukadam #noormuqaddam #JusticeForNoormukadam #zahirjaffer #pakistan @kajolmanshad @SeharKamran https://t.co/oZJRdfyInz","{'hashtags': [{'text': 'noormukadam', 'indices': [91, 103]}, {'text': 'noormuqaddam', 'indices': [104, 117]}, {'text': 'JusticeForNoormukadam', 'indices': [118, 140]}, {'text': 'zahirjaffer', 'indices': [141, 153]}, {'text': 'pakistan', 'indices': [154, 163]}], 'urls': [], 'user_mentions': [{'screen_name': 'mubasherlucman', 'name': 'Mubasher Lucman', 'id': 54610518, 'id_str': '54610518', 'indices': [73, 88]}, {'screen_name': 'kajolmanshad', 'name': 'Kajal Manshad', 'id': 1480128896, 'id_str': '1480128896', 'indices': [164, 177]}, {'screen_name': 'SeharKamran', 'name': 'Senator Sehar Kamran T.I.', 'id': 43112080, 'id_str': '43112080', 'indices': [178, 190]}], 'symbols': [], 'media': [{'id': 1484962445424799751, 'id_str': '1484962445424799751', 'indices': [191, 214], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1484962445424799751/pu/img/e3OoNPDy-fuCUJm2.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1484962445424799751/pu/img/e3OoNPDy-fuCUJm2.jpg', 'url': 'https://t.co/oZJRdfyInz', 'display_url': 'pic.twitter.com/oZJRdfyInz', 'expanded_url': 'https://twitter.com/TeamLucmanML/status/1484962548613107713/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [414, 433], 'duration_millis': 90545, 'variants': [{'bitrate': 950000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/vid/480x502/6URWlxqbAw_QPF2L.mp4?tag=12'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/vid/720x752/smDNCWGh8FkjOefj.mp4?tag=12'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/pl/-eNgDanY3i45U2Jc.m3u8?tag=12&container=fmp4'}, {'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/vid/320x334/-qpBzuXF66J_6hWV.mp4?tag=12'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 828, 'h': 866, 'resize': 'fit'}, 'medium': {'w': 828, 'h': 866, 'resize': 'fit'}, 'small': {'w': 650, 'h': 680, 'resize': 'fit'}}}]}",Office of SK,SeharKOffice,"Islamabad, Pakistan",False,0,0,0,0,Sat Jan 22 21:27:46 +0000 2022,1485001264920412166
"RT @TeamLucmanML: Law does not get implemented in Pakistan … 

Twitter Space with @mubasherlucman 

#noormukadam #noormuqaddam #JusticeForNoormukadam #zahirjaffer #pakistan @kajolmanshad @SeharKamran https://t.co/NoRqDwbktS","{'hashtags': [{'text': 'noormukadam', 'indices': [82, 94]}, {'text': 'noormuqaddam', 'indices': [95, 108]}, {'text': 'JusticeForNoormukadam', 'indices': [109, 131]}, {'text': 'zahirjaffer', 'indices': [132, 144]}, {'text': 'pakistan', 'indices': [145, 154]}], 'urls': [], 'user_mentions': [{'screen_name': 'mubasherlucman', 'name': 'Mubasher Lucman', 'id': 54610518, 'id_str': '54610518', 'indices': [64, 79]}, {'screen_name': 'kajolmanshad', 'name': 'Kajal Manshad', 'id': 1480128896, 'id_str': '1480128896', 'indices': [155, 168]}, {'screen_name': 'SeharKamran', 'name': 'Senator Sehar Kamran T.I.', 'id': 43112080, 'id_str': '43112080', 'indices': [169, 181]}], 'symbols': [], 'media': [{'id': 1484956146607734794, 'id_str': '1484956146607734794', 'indices': [182, 205], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1484956146607734794/pu/img/vqVqga0mmS_VWcyD.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1484956146607734794/pu/img/vqVqga0mmS_VWcyD.jpg', 'url': 'https://t.co/NoRqDwbktS', 'display_url': 'pic.twitter.com/NoRqDwbktS', 'expanded_url': 'https://twitter.com/TeamLucmanML/status/1484956357136633856/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [414, 317], 'duration_millis': 124021, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484956146607734794/pu/vid/470x360/KifCtk4BZEPn68kP.mp4?tag=12'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1484956146607734794/pu/pl/7NkNEfvFLX5Jk10H.m3u8?tag=12&container=fmp4'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484956146607734794/pu/vid/352x270/Pvt4X66ysyT137QV.mp4?tag=12'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484956146607734794/pu/vid/828x634/NoP7ByjIiPdmWyaa.mp4?tag=12'}]}, 'sizes': {'large': {'w': 828, 'h': 634, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 521, 'resize': 'fit'}, 'medium': {'w': 828, 'h': 634, 'resize': 'fit'}}}]}",Senator Sehar Kamran Office,SenatorSehar,Islamabad ,False,0,0,0,0,Sat Jan 22 21:27:06 +0000 2022,1485001096338759688
"RT @TeamLucmanML: We will keep fighting for justice for Noor Muqaddam 

Twitter Space with @mubasherlucman 

#noormukadam #noormuqaddam #JusticeForNoormukadam #zahirjaffer #pakistan @kajolmanshad @SeharKamran https://t.co/oZJRdfyInz","{'hashtags': [{'text': 'noormukadam', 'indices': [91, 103]}, {'text': 'noormuqaddam', 'indices': [104, 117]}, {'text': 'JusticeForNoormukadam', 'indices': [118, 140]}, {'text': 'zahirjaffer', 'indices': [141, 153]}, {'text': 'pakistan', 'indices': [154, 163]}], 'urls': [], 'user_mentions': [{'screen_name': 'mubasherlucman', 'name': 'Mubasher Lucman', 'id': 54610518, 'id_str': '54610518', 'indices': [73, 88]}, {'screen_name': 'kajolmanshad', 'name': 'Kajal Manshad', 'id': 1480128896, 'id_str': '1480128896', 'indices': [164, 177]}, {'screen_name': 'SeharKamran', 'name': 'Senator Sehar Kamran T.I.', 'id': 43112080, 'id_str': '43112080', 'indices': [178, 190]}], 'symbols': [], 'media': [{'id': 1484962445424799751, 'id_str': '1484962445424799751', 'indices': [191, 214], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1484962445424799751/pu/img/e3OoNPDy-fuCUJm2.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1484962445424799751/pu/img/e3OoNPDy-fuCUJm2.jpg', 'url': 'https://t.co/oZJRdfyInz', 'display_url': 'pic.twitter.com/oZJRdfyInz', 'expanded_url': 'https://twitter.com/TeamLucmanML/status/1484962548613107713/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [414, 433], 'duration_millis': 90545, 'variants': [{'bitrate': 950000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/vid/480x502/6URWlxqbAw_QPF2L.mp4?tag=12'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/vid/720x752/smDNCWGh8FkjOefj.mp4?tag=12'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/pl/-eNgDanY3i45U2Jc.m3u8?tag=12&container=fmp4'}, {'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1484962445424799751/pu/vid/320x334/-qpBzuXF66J_6hWV.mp4?tag=12'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 828, 'h': 866, 'resize': 'fit'}, 'medium': {'w': 828, 'h': 866, 'resize': 'fit'}, 'small': {'w': 650, 'h': 680, 'resize': 'fit'}}}]}",Senator Sehar Kamran Office,SenatorSehar,Islamabad ,False,0,0,0,0,Sat Jan 22 21:27:00 +0000 2022,1485001071860887552
