Hashtag,Count
#JusticeForMariam,914
#motorwayincident,872
#zahirjaffer,427
#NoorMukadam,390
#JusticeForNoor,353
#ZahirJaffer,231
#ImranKhan,164
#noormukadam,135
#CCPO,132
#JusticeforNoor,125
#noormuqaddam,74
#Pakistan,66
#noormukaddam,62
#justicefornoor,60
#MotorwayIncident,57
#pakistan,50
#ZakirJaffer,42
#lockdown2021,42
#JusticeForNoormukadam,40
#Zahir,39
#motorwaycase,38
#etribune,34
#justiceformariam,31
#news,31
#JusticeForHareem,28
#UsmanMirza,27
#hangzahirjaffer,26
#ModelTownMassacre,26
#NoorNeedsJustice,23
#جیو_ہزاروں_سال_کپتان,20
#arynews,19
#GetWellSoonSkipper,19
#justiceforjawad,18
#MotorwayCase,17
#Motorwayincident,16
#VAW,16
#justiceforquratulain,16
#minarepakistan,16
#نیازی_قبرمیں_سکون_کرو,15
#RapistStonnedToDeath,15
#RemoveCCPOLahore,14
#MotorwayRapeCase,14
#naseembibi,14
#murderer,13
#JusticeforMariam,13
#ZahirJaffar,13
#IslamabadCase,13
#NoorMuqadamCase,13
#MinareEPakistanCase,13
#HyderabadCase,13
#کہاں_ہے_ریپسٹ_قانون,12
#harrassment,12
#Rape,12
#acidattacks,12
#DomesticViolenceBill,12
#GetWellSoonPMIK,12
#khadijasiddiqi,12
#GBV,12
#LUMS,11
#NawazSharif,11
#MotorWayIncident,11
#HangRapistsPublically,10
#CCPOLahore,10
#PublicHangingOfRapists,10
#BreakingNews,10
#Noor,9
#Woman,9
#rape,9
#TogetherWeCan,9
#NoOneIsAboveTheLaw,9
#400men,8
#SayNoToBahriaTown,8
#MeToo,8
#zahirjaffar,8
#Women,8
#ShehnaazGill,8
#GetWellSoonImranKhan,8
#minarepakistanincident,8
#lahoreincident,8
#HANGZAHIRJAFFER,8
#NirmalaMaghani,8
#Lahore,7
#hangrapistspublicly,7
#zakirjaffer,7
#JusticeForZainab,7
#motorway,7
#Motorway,7
#rapist,7
#FuckZahirJaffer,7
#19MarchLahoreDharna,6
#LahoreBlast,6
#imrankhanPTI,6
#HangRapists,6
#ShaukatMukadam,6
#AafiaLifeIsInDanger,5
#MothersDay,5
#HangZahirJaffer,5
#PMTakeNotice4NoorMukadam,5
#londonprotest,5
#ملک_کی_بقا_صدارتی_نظام,5
#BREAKING,5
#Technologist_Protest_24March,5
#Justice,5
#Zahirjaffer,5
#PDM,5
#INDvsENG,5
#YouTube,5
#lockdown,4
#mariamforever,4
#IndusAapSeHai,4
#10bmnews,4
#latestnews,4
#insaaf,4
#AbidMalhi,4
#ayeshaakram,4
#ayesha,4
#LahorePolice,4
#JUSTICE,4
#SenateElection,4
#NizamBadloBikeRally23rdMarch,4
#zalimkosazado,4
#womenpower,4
#طلبہ_کو_پڑھنے_دو,4
#Shaheenbaloch,4
#Marwah,4
#GulPanra,4
#Sexualassault,4
#MeraQusoorKiaHai,4
#Sunday,4
#Punjab,4
#March,4
#ATCJudgment,4
#CapitalTV,4
#PDMFuture,4
#NAB,4
#ElectionComissionOfPakistan,4
#ThankYouPrimeMinister,4
#sexualabuse,4
#AAPakistan,4
#Nonsense,4
#abbotabad,4
#nations,4
#Justicefornoor,4
#نہ_صاف_چلی_نہ_شفاف_چلی,4
#actor,4
#pslanthem,4
#NoIndian,4
#dobara,4
#AllamaSaadHussainRizvi,4
#AsmatAdamjee,4
#AimaBaig,4
#justiceforQuratulain,4
#asmatadamkhoor,4
#Oscar,4
#Ismatadamjee,4
#CPvSIN,3
#PMImranKhan,3
#RespectForOverseas,3
#Farmers,3
#lahore,3
#Haryana,3
#JummaMubarak,3
#justiceforMariam,3
#MotorwayPolice,3
#MotorwayOfficerHit,3
#IndependentJudiciary,3
#justiceForMariam,3
#Scumbag,3
#Noormukadam,3
#INDvENG,3
#سلام_یاامیرالمجاہدین,3
#Therapyworks,3
#ShafqatAli,3
#SaddiqulFarooq,3
#GTVNews,3
#HerAllies,3
#consent,3
#manels,3
#Restoresaaraaab,3
#gangrape,3
#theraphyworks,3
#JusticeforSaima,3
#sahiwal,3
#JusticeSystemPakistan,3
#hangzahir,3
#JusticeForSale,3
#JUSTICEFORMARIAM,3
#NoorMuqaddam,3
#MajeedAchakzai,3
#DeathSentence,3
#justice,3
#PMIK,3
#PrimeMinisterImrankhan,3
#imrankhancovidpositive,3
#ImranKhanMyPM,3
#نوروز,3
#Nowruz,3
#NoorMukaddam,3
#killer,3
#COVID19,3
#asmatadamjee,3
#TwoPakistanNotOne,3
#NoorMukkadam,3
#العدالة_لمريم,3
#murdercase,2
#releasekhurramali,2
#antirape,2
#CourtingTheLaw,2
#JusticeForHanifa,2
#A12,2
#emergencyservices,2
#london,2
#essex,2
#pakistanmovingforward,2
#roadTrip,2
#انصاف_کرو_سیاست_نہیں,2
#BuryingKashmirIsRejected,2
#PakistanZindabad,2
#ATC,2
#NCOC,2
#Romford,2
#AutomotiveIndustry,2
#TherapyWorks,2
#motorwayrape,2
#News360,2
#Rawalpindi,2
#motorwayIncident,2
#RapistPMLN,2
#ThoughtForTheDay,2
#Court,2
#TahirZahoor,2
#justiceforzainab,2
#GraphicWalaDesigner,2
#Zainabcase,2
#India,2
#RoadSafety,2
#court,2
#stopblamingvictims,2
#EnoughIsEnough,2
#CircleMaze,2
#Capital_punshiment,2
#Motorwaycase,2
#UPDATE,2
#Xbox,2
#SeriesX,2
#womenvoilence,2
#RESTOCK,2
#justiceforpakistan,2
#gamestophearing,2
#crime,2
#AlanpurNews,2
#cars,2
#Rapists,2
#woman,2
#targets,2
#Walmart,2
#Evil,2
#gamedev,2
#mukaddams,2
#PunjabPolice,2
#MukhtaranMai,2
#motorcycle,2
#FridayMotivation,2
#Motorsport,2
#potholetracker,2
#USA,2
#Coronaviruspakistan,2
#BeTheVoiceForJustice,2
#MaryamNawaz,2
#girlpower,2
#Islamabad,2
#Igbos,2
#FazalurRehman,2
#BilawalBhutto,2
#Dortmund,2
#DunyaNews,2
#MazratKaySaath,2
#Lewy,2
#aneketwinstv,2
#PMLN,2
#PTI,2
#PPP,2
#JUIF,2
#capitalpunishment,2
#Batman,2
#womenempowerment,2
#NoMercy,2
#HARASSMENTRISK,2
#Selfdefense,2
#BTSV,2
#atwinsdesign,2
#aneketwins,2
#obuasi,2
#CoupleGoals,2
#HanKer,2
#JusticeLeague,2
#ADA,2
#FarmersProtest,2
#JUNGKOOK,2
#kerabling,2
#PTIGovernment,2
#Bayern,2
