Word,Count
the,3388
of,1960
to,1435
in,1240
and,1193
is,1008
a,917
we,916
this,912
victim,762
abuse,693
child,692
sign,670
be,653
petition,645
want,634
zahir,626
that,625
sex,612
jaffer,587
via,586
for,554
i,469
justice,444
on,419
it,403
amp,377
should,375
so,334
rape,327
with,322
have,310
been,300
are,300
case,299
court,287
was,280
has,279
hanged,273
not,266
who,246
our,245
he,242
by,237
her,232
you,229
woman,219
death,216
fit,215
as,207
they,206
an,189
will,189
medical,187
mentally,184
society,182
sexual,177
what,171
from,171
do,169
s,169
if,167
very,159
hope,157
please,152
can,151
get,151
jail,150
but,145
pm,142
all,139
statement,138
at,137
she,137
declared,137
blamed,135
utterly,135
violence,135
culture,134
their,134
mindset,133
him,133
reprehensible,132
doctors,132
normalizes,132
aftermath,132
umarshaikh,132
insensitive,132
resonates,132
my,130
people,129
stretcher,128
no,127
more,127
why,126
old,126
his,125
report,121
your,119
how,118
system,114
today,113
even,112
served,112
media,111
motorway,110
noor,110
accused,110
such,108
police,107
family,105
girl,103
adiala,103
pakistan,103
sentenced,102
end,100
judiciary,98
news,98
years,97
still,97
must,96
social,94
can’t,94
may,93
deserves,92
rapists,91
involved,90
like,90
its,85
now,85
up,85
decision,84
just,83
time,83
being,83
them,82
completely,82
there,81
these,81
many,80
4,80
drama,80
one,79
tw,78
out,78
culprits,77
hang,75
need,75
abid,75
murder,75
ali,74
physically,74
deserve,74
raped,72
know,72
new,72
courts,71
sentence,71
trial,70
every,70
where,70
everyone,69
punishment,68
lahore,68
year,68
after,66
next,66
about,66
allah,66
video,65
finally,65
shafqat,65
heartbreaking,65
pedophilia,65
life,64
brought,63
heart,63
mental,63
day,63
authorities,61
give,61
show,60
or,60
mariam,59
read,59
declare,59
take,59
rich,59
soon,58
me,57
any,57
only,57
stand,56
made,56
kind,56
see,56
entire,56
fully,56
make,55
hell,55
until,54
submitted,54
fucking,53
given,53
human,53
elite,53
abused,53
pray,52
baby,52
monster,51
had,51
did,51
dramay,51
better,50
children,50
