Id,Label
#JusticeForMariam,#JusticeForMariam
#motorwayincident,#motorwayincident
#zahirjaffer,#zahirjaffer
#NoorMukadam,#NoorMukadam
#JusticeForNoor,#JusticeForNoor
#ZahirJaffer,#ZahirJaffer
#ImranKhan,#ImranKhan
#noormukadam,#noormukadam
#CCPO,#CCPO
#JusticeforNoor,#JusticeforNoor
#noormuqaddam,#noormuqaddam
#Pakistan,#Pakistan
#noormukaddam,#noormukaddam
#justicefornoor,#justicefornoor
#MotorwayIncident,#MotorwayIncident
#pakistan,#pakistan
#ZakirJaffer,#ZakirJaffer
#lockdown2021,#lockdown2021
#JusticeForNoormukadam,#JusticeForNoormukadam
#Zahir,#Zahir
#motorwaycase,#motorwaycase
#etribune,#etribune
#justiceformariam,#justiceformariam
#news,#news
#JusticeForHareem,#JusticeForHareem
#UsmanMirza,#UsmanMirza
#hangzahirjaffer,#hangzahirjaffer
#ModelTownMassacre,#ModelTownMassacre
#NoorNeedsJustice,#NoorNeedsJustice
#جیو_ہزاروں_سال_کپتان,#جیو_ہزاروں_سال_کپتان
#arynews,#arynews
#GetWellSoonSkipper,#GetWellSoonSkipper
#justiceforjawad,#justiceforjawad
#MotorwayCase,#MotorwayCase
#Motorwayincident,#Motorwayincident
#VAW,#VAW
#justiceforquratulain,#justiceforquratulain
#minarepakistan,#minarepakistan
#نیازی_قبرمیں_سکون_کرو,#نیازی_قبرمیں_سکون_کرو
#RapistStonnedToDeath,#RapistStonnedToDeath
#RemoveCCPOLahore,#RemoveCCPOLahore
#MotorwayRapeCase,#MotorwayRapeCase
#naseembibi,#naseembibi
#murderer,#murderer
#JusticeforMariam,#JusticeforMariam
#ZahirJaffar,#ZahirJaffar
#IslamabadCase,#IslamabadCase
#NoorMuqadamCase,#NoorMuqadamCase
#MinareEPakistanCase,#MinareEPakistanCase
#HyderabadCase,#HyderabadCase
#کہاں_ہے_ریپسٹ_قانون,#کہاں_ہے_ریپسٹ_قانون
#harrassment,#harrassment
#Rape,#Rape
#acidattacks,#acidattacks
#DomesticViolenceBill,#DomesticViolenceBill
#GetWellSoonPMIK,#GetWellSoonPMIK
#khadijasiddiqi,#khadijasiddiqi
#GBV,#GBV
#LUMS,#LUMS
#NawazSharif,#NawazSharif
#MotorWayIncident,#MotorWayIncident
#HangRapistsPublically,#HangRapistsPublically
#CCPOLahore,#CCPOLahore
#PublicHangingOfRapists,#PublicHangingOfRapists
#BreakingNews,#BreakingNews
#Noor,#Noor
#Woman,#Woman
#rape,#rape
#TogetherWeCan,#TogetherWeCan
#NoOneIsAboveTheLaw,#NoOneIsAboveTheLaw
#400men,#400men
#SayNoToBahriaTown,#SayNoToBahriaTown
#MeToo,#MeToo
#zahirjaffar,#zahirjaffar
#Women,#Women
#ShehnaazGill,#ShehnaazGill
#GetWellSoonImranKhan,#GetWellSoonImranKhan
#minarepakistanincident,#minarepakistanincident
#lahoreincident,#lahoreincident
#HANGZAHIRJAFFER,#HANGZAHIRJAFFER
#NirmalaMaghani,#NirmalaMaghani
#Lahore,#Lahore
#hangrapistspublicly,#hangrapistspublicly
#zakirjaffer,#zakirjaffer
#JusticeForZainab,#JusticeForZainab
#motorway,#motorway
#Motorway,#Motorway
#rapist,#rapist
#FuckZahirJaffer,#FuckZahirJaffer
#19MarchLahoreDharna,#19MarchLahoreDharna
#LahoreBlast,#LahoreBlast
#imrankhanPTI,#imrankhanPTI
#HangRapists,#HangRapists
#ShaukatMukadam,#ShaukatMukadam
#AafiaLifeIsInDanger,#AafiaLifeIsInDanger
#MothersDay,#MothersDay
#HangZahirJaffer,#HangZahirJaffer
#PMTakeNotice4NoorMukadam,#PMTakeNotice4NoorMukadam
#londonprotest,#londonprotest
#ملک_کی_بقا_صدارتی_نظام,#ملک_کی_بقا_صدارتی_نظام
#BREAKING,#BREAKING
#Technologist_Protest_24March,#Technologist_Protest_24March
#Justice,#Justice
#Zahirjaffer,#Zahirjaffer
#PDM,#PDM
#INDvsENG,#INDvsENG
#YouTube,#YouTube
#lockdown,#lockdown
#mariamforever,#mariamforever
#IndusAapSeHai,#IndusAapSeHai
#10bmnews,#10bmnews
#latestnews,#latestnews
#insaaf,#insaaf
#AbidMalhi,#AbidMalhi
#ayeshaakram,#ayeshaakram
#ayesha,#ayesha
#LahorePolice,#LahorePolice
#JUSTICE,#JUSTICE
#SenateElection,#SenateElection
#NizamBadloBikeRally23rdMarch,#NizamBadloBikeRally23rdMarch
#zalimkosazado,#zalimkosazado
#womenpower,#womenpower
#طلبہ_کو_پڑھنے_دو,#طلبہ_کو_پڑھنے_دو
#Shaheenbaloch,#Shaheenbaloch
#Marwah,#Marwah
#GulPanra,#GulPanra
