Id,Label
we,we
will,will
keep,keep
fighting,fighting
for,for
justice,justice
noor,noor
muqaddam,muqaddam
twitter,twitter
space,space
with,with
case,case
get,get
join,join
our,our
saturday,saturday
22nd,22nd
january,january
at,at
9pm,9pm
pst,pst
👇🏻👇🏻👇🏻,👇🏻👇🏻👇🏻
moral,moral
degradation,degradation
in,in
society,society
why,why
have,have
you,you
stopped,stopped
covering,covering
the,the
initially,initially
were,were
so,so
active,active
but,but
now,now
see,see
just,just
silence,silence
been,been
silenced,silenced
by,by
rich,rich
jaffersadamjee,jaffersadamjee
or,or
lost,lost
interest,interest
because,because
not,not
getting,getting
enough,enough
views,views
what,what
very,very
disappointed,disappointed
last,last
14,14
years,years
there,there
over,over
800,800
acid,acid
and,and
kerosene,kerosene
burning,burning
cases,cases
pakistan,pakistan
even,even
one,one
victim,victim
has,has
given,given
law,law
does,does
implemented,implemented
…,…
a,a
few,few
afterthoughts,afterthoughts
on,on
this,this
interesting,interesting
listen,listen
to,to
women,women
dont,dont
be,be
thinking,thinking
about,about
think,think
shes,shes
saying,saying
her,her
let,let
finish,finish
concerns,concerns
evaluate,evaluate
risk,risk
how,how
youd,youd
react,react
nor,nor
i,i
are,are
shoes,shoes
15,15
realistic,realistic
culturesociety,culturesociety
looks,looks
like,like
around,around
acknowledge,acknowledge
me,me
amp,amp
complicity,complicity
issue,issue
fingerpointing,fingerpointing
leads,leads
own,own
selves,selves
drastically,drastically
change,change
your,your
stance,stance
intolerant,intolerant
of,of
little,little
sexism,sexism
that,that
45,45
imho,imho
gruesomeness,gruesomeness
crime,crime
lot,lot
do,do
outrage,outrage
👵routinely,👵routinely
endure,endure
pinching,pinching
grabbing,grabbing
obscene,obscene
gestures,gestures
other,other
nonlethal,nonlethal
quite,quite
demeaning,demeaning
treatment,treatment
outraged,outraged
these,these
indignities,indignities
🧕face,🧕face
wait,wait
something,something
kill,kill
us,us
25,25
sharam,sharam
izzat,izzat
haya,haya
should,should
as,as
applicable,applicable
mensons,mensons
womendaughters,womendaughters
islamic,islamic
republic,republic
shouldn’t,shouldn’t
citied,citied
convenience,convenience
americanness,americanness
pulled,pulled
out,out
hopes,hopes
escapealso,escapealso
all,all
living,living
through,through
’s,’s
trauma,trauma
don’t,don’t
make,make
it,it
more,more
traumatic,traumatic
criminals,criminals
zahir,zahir
jaffer,jaffer
nd,nd
omer,omer
khalid,khalid
memon,memon
need,need
punished,punished
they,they
evil,evil
minds,minds
cruelest,cruelest
gamer,gamer
world,world
hell,hell
is,is
if,if
s,s
family,family
didnt,didnt
would,would
lose,lose
completely,completely
burn,burn
pakistani,pakistani
flag,flag
person,person
actually,actually
mentally,mentally
ill,ill
normal,normal
cannot,cannot
such,such
things,things
he,he
done,done
jaffir,jaffir
alive,alive
till,till
his,his
breath,breath
could,could
experience,experience
gave,gave
bloody,bloody
animal,animal
parents,parents
too,too
system,system
pakistan👎,pakistan👎
hair,hair
style,style
murderer,murderer
👍,👍
an,an
oped,oped
critical,critical
course,course
correct,correct
🔗,🔗
1️⃣,1️⃣
“she,“she
was,was
raped,raped
beaten,beaten
beheaded,beheaded
thousands,thousands
every,every
year,year
–,–
noor’s,noor’s
important,important
future,future
women’s,women’s
rights”,rights”
same,same
murder,murder
20047,20047
it’s,it’s
problem,problem
flawed,flawed
hypocritic,hypocritic
motherland,motherland
nothing,nothing
crowd,crowd
nation,nation
never,never
learned,learned
love,love
value,value
noorwomen,noorwomen
lives,lives
matterit,matterit
pathetic,pathetic
note,note
judge,judge
taking,taking
long,long
seems,seems
behind,behind
close,close
door,door
trial,trial
room,room
happeningif,happeningif
away,away
delay,delay
means,means
towards,towards
completion,completion
o,o
prosecution,prosecution
witness,witness
after,after
statement,statement
accused,accused
then,then
conviction,conviction
update,update
proceeding,proceeding
took,took
place,place
yesterday,yesterday
defense,defense
counsel,counsel
zakir,zakir
did,did
crossexamination,crossexamination
investigation,investigation
officer,officer
io,io
adiala,adiala
jail,jail
doctors,doctors
declared,declared
fit,fit
medical,medical
report,report
next,next
24th,24th
jan,jan
haral,haral
pretending,pretending
himself,himself
court,court
proceedings,proceedings
everyday,everyday
coming,coming
up,up
new,new
baseless,baseless
excuses,excuses
bit,bit
always,always
remember,remember
allah,allah
where,where
wouldnt,wouldnt
work,work
sure,sure
part,part
2,2
bill,bill
gates,gates
hails,hails
mukadam,mukadam
imran,imran
khan,khan
exc,exc
via,via
shame,shame
police,police
must,must
read,read
monster,monster
needs,needs
incidents,incidents
pushed,pushed
under,under
carpet,carpet
authors,authors
rightly,rightly
ask,ask
many,many
carpets,carpets
realize,realize
floor,floor
which,which
mentioned,mentioned
fir,fir
cdr,cdr
surprisingly,surprisingly
neither,neither
shokat,shokat
muqadam,muqadam
bothered,bothered
tell,tell
each,each
call,call
whatsapp,whatsapp
supposedly,supposedly
deceived,deceived
dramay,dramay
baaz,baaz
hanged,hanged
inshaaallah,inshaaallah
“we,“we
look,look
good,good
samaritan,samaritan
what’s,what’s
stopping,stopping
from,from
playing,playing
role”,role”
raise,raise
voice,voice
can’t,can’t
bring,bring
back,back
can,can
prevent,prevent
being,being
