Source,Target,Type,Id,Label,timeset,Weight
Hashtag,Count,Undirected,0,,,1
"#JusticeForMariam",914,Undirected,1,,,1
"#motorwayincident",872,Undirected,2,,,1
"#zahirjaffer",427,Undirected,3,,,1
"#NoorMukadam",390,Undirected,4,,,1
"#JusticeForNoor",353,Undirected,5,,,1
"#ZahirJaffer",231,Undirected,6,,,1
"#ImranKhan",164,Undirected,7,,,1
"#noormukadam",135,Undirected,8,,,1
"#CCPO",132,Undirected,9,,,1
"#JusticeforNoor",125,Undirected,10,,,1
"#noormuqaddam",74,Undirected,11,,,1
"#Pakistan",66,Undirected,12,,,1
"#noormukaddam",62,Undirected,13,,,1
"#justicefornoor",60,Undirected,14,,,1
"#MotorwayIncident",57,Undirected,15,,,1
"#pakistan",50,Undirected,16,,,1
"#ZakirJaffer",42,Undirected,17,,,1
"#lockdown2021",42,Undirected,18,,,1
"#JusticeForNoormukadam",40,Undirected,19,,,1
"#Zahir",39,Undirected,20,,,1
"#motorwaycase",38,Undirected,21,,,1
"#etribune",34,Undirected,22,,,1
"#justiceformariam",31,Undirected,23,,,1
"#news",31,Undirected,24,,,1
"#JusticeForHareem",28,Undirected,25,,,1
"#UsmanMirza",27,Undirected,26,,,1
"#hangzahirjaffer",26,Undirected,27,,,1
"#ModelTownMassacre",26,Undirected,28,,,1
"#NoorNeedsJustice",23,Undirected,29,,,1
"#جیو_ہزاروں_سال_کپتان",20,Undirected,30,,,1
"#arynews",19,Undirected,31,,,1
"#GetWellSoonSkipper",19,Undirected,32,,,1
"#justiceforjawad",18,Undirected,33,,,1
"#MotorwayCase",17,Undirected,34,,,1
"#Motorwayincident",16,Undirected,35,,,1
"#VAW",16,Undirected,36,,,1
"#justiceforquratulain",16,Undirected,37,,,1
"#minarepakistan",16,Undirected,38,,,1
"#نیازی_قبرمیں_سکون_کرو",15,Undirected,39,,,1
"#RapistStonnedToDeath",15,Undirected,40,,,1
"#RemoveCCPOLahore",14,Undirected,41,,,1
"#MotorwayRapeCase",14,Undirected,42,,,1
"#naseembibi",14,Undirected,43,,,1
"#murderer",13,Undirected,44,,,1
"#JusticeforMariam",13,Undirected,45,,,1
"#ZahirJaffar",13,Undirected,46,,,1
"#IslamabadCase",13,Undirected,47,,,1
"#NoorMuqadamCase",13,Undirected,48,,,1
"#MinareEPakistanCase",13,Undirected,49,,,1
"#HyderabadCase",13,Undirected,50,,,1
"#کہاں_ہے_ریپسٹ_قانون",12,Undirected,51,,,1
"#harrassment",12,Undirected,52,,,1
"#Rape",12,Undirected,53,,,1
"#acidattacks",12,Undirected,54,,,1
"#DomesticViolenceBill",12,Undirected,55,,,1
"#GetWellSoonPMIK",12,Undirected,56,,,1
"#khadijasiddiqi",12,Undirected,57,,,1
"#GBV",12,Undirected,58,,,1
"#LUMS",11,Undirected,59,,,1
"#NawazSharif",11,Undirected,60,,,1
"#MotorWayIncident",11,Undirected,61,,,1
"#HangRapistsPublically",10,Undirected,62,,,1
"#CCPOLahore",10,Undirected,63,,,1
"#PublicHangingOfRapists",10,Undirected,64,,,1
"#BreakingNews",10,Undirected,65,,,1
"#Noor",9,Undirected,66,,,1
"#Woman",9,Undirected,67,,,1
"#rape",9,Undirected,68,,,1
"#TogetherWeCan",9,Undirected,69,,,1
"#NoOneIsAboveTheLaw",9,Undirected,70,,,1
"#400men",8,Undirected,71,,,1
"#SayNoToBahriaTown",8,Undirected,72,,,1
"#MeToo",8,Undirected,73,,,1
"#zahirjaffar",8,Undirected,74,,,1
"#Women",8,Undirected,75,,,1
"#ShehnaazGill",8,Undirected,76,,,1
"#GetWellSoonImranKhan",8,Undirected,77,,,1
"#minarepakistanincident",8,Undirected,78,,,1
"#lahoreincident",8,Undirected,79,,,1
"#HANGZAHIRJAFFER",8,Undirected,80,,,1
"#NirmalaMaghani",8,Undirected,81,,,1
"#Lahore",7,Undirected,82,,,1
"#hangrapistspublicly",7,Undirected,83,,,1
"#zakirjaffer",7,Undirected,84,,,1
"#JusticeForZainab",7,Undirected,85,,,1
"#motorway",7,Undirected,86,,,1
"#Motorway",7,Undirected,87,,,1
"#rapist",7,Undirected,88,,,1
"#FuckZahirJaffer",7,Undirected,89,,,1
"#19MarchLahoreDharna",6,Undirected,90,,,1
"#LahoreBlast",6,Undirected,91,,,1
"#imrankhanPTI",6,Undirected,92,,,1
"#HangRapists",6,Undirected,93,,,1
"#ShaukatMukadam",6,Undirected,94,,,1
"#AafiaLifeIsInDanger",5,Undirected,95,,,1
"#MothersDay",5,Undirected,96,,,1
"#HangZahirJaffer",5,Undirected,97,,,1
"#PMTakeNotice4NoorMukadam",5,Undirected,98,,,1
"#londonprotest",5,Undirected,99,,,1
"#ملک_کی_بقا_صدارتی_نظام",5,Undirected,100,,,1
"#BREAKING",5,Undirected,101,,,1
"#Technologist_Protest_24March",5,Undirected,102,,,1
"#Justice",5,Undirected,103,,,1
"#Zahirjaffer",5,Undirected,104,,,1
"#PDM",5,Undirected,105,,,1
"#INDvsENG",5,Undirected,106,,,1
"#YouTube",5,Undirected,107,,,1
"#lockdown",4,Undirected,108,,,1
"#mariamforever",4,Undirected,109,,,1
"#IndusAapSeHai",4,Undirected,110,,,1
"#10bmnews",4,Undirected,111,,,1
"#latestnews",4,Undirected,112,,,1
"#insaaf",4,Undirected,113,,,1
"#AbidMalhi",4,Undirected,114,,,1
"#ayeshaakram",4,Undirected,115,,,1
"#ayesha",4,Undirected,116,,,1
"#LahorePolice",4,Undirected,117,,,1
"#JUSTICE",4,Undirected,118,,,1
