Id,Label,timeset,pageranks,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Hashtag,Hashtag,,0.000169,0,2,0.666667,0.75,0
Count,Count,,0.00032,0,1,1,1,1
"#JusticeForMariam","#JusticeForMariam",,0.000219,1,1,1,1,0
914,914,,0.000219,1,1,1,1,0
"#motorwayincident","#motorwayincident",,0.000219,2,1,1,1,0
872,872,,0.000219,2,1,1,1,0
"#zahirjaffer","#zahirjaffer",,0.000219,3,1,1,1,0
427,427,,0.000219,3,1,1,1,0
"#NoorMukadam","#NoorMukadam",,0.000219,4,1,1,1,0
390,390,,0.000219,4,1,1,1,0
"#JusticeForNoor","#JusticeForNoor",,0.000219,5,1,1,1,0
353,353,,0.000219,5,1,1,1,0
"#ZahirJaffer","#ZahirJaffer",,0.000219,6,1,1,1,0
231,231,,0.000219,6,1,1,1,0
"#ImranKhan","#ImranKhan",,0.000219,7,1,1,1,0
164,164,,0.000219,7,1,1,1,0
"#noormukadam","#noormukadam",,0.000144,8,2,0.571429,0.625,0
135,135,,0.000521,8,1,1,1,6
"#CCPO","#CCPO",,0.000131,9,2,0.533333,0.5625,0
132,132,,0.000923,9,1,1,1,28
"#JusticeforNoor","#JusticeforNoor",,0.000169,10,2,0.666667,0.75,0
125,125,,0.00032,10,1,1,1,1
"#noormuqaddam","#noormuqaddam",,0.000144,11,2,0.571429,0.625,0
74,74,,0.000521,11,1,1,1,6
"#Pakistan","#Pakistan",,0.000139,12,2,0.555556,0.6,0
66,66,,0.000621,12,1,1,1,10
"#noormukaddam","#noormukaddam",,0.000219,13,1,1,1,0
62,62,,0.000219,13,1,1,1,0
"#justicefornoor","#justicefornoor",,0.000152,14,2,0.6,0.666667,0
60,60,,0.00042,14,1,1,1,3
"#MotorwayIncident","#MotorwayIncident",,0.000144,15,2,0.571429,0.625,0
57,57,,0.000521,15,1,1,1,6
"#pakistan","#pakistan",,0.000152,16,2,0.6,0.666667,0
50,50,,0.00042,16,1,1,1,3
"#ZakirJaffer","#ZakirJaffer",,0.00013,17,2,0.529412,0.555556,0
42,42,,0.001024,17,1,1,1,36
"#lockdown2021","#lockdown2021",,0.00013,17,2,0.529412,0.555556,0
"#JusticeForNoormukadam","#JusticeForNoormukadam",,0.00013,18,2,0.529412,0.555556,0
40,40,,0.001024,18,1,1,1,36
"#Zahir","#Zahir",,0.00013,19,2,0.529412,0.555556,0
39,39,,0.001024,19,1,1,1,36
"#motorwaycase","#motorwaycase",,0.000135,20,2,0.545455,0.583333,0
38,38,,0.000722,20,1,1,1,15
"#etribune","#etribune",,0.000139,21,2,0.555556,0.6,0
34,34,,0.000621,21,1,1,1,10
"#justiceformariam","#justiceformariam",,0.000128,22,2,0.526316,0.55,0
31,31,,0.001124,22,1,1,1,45
"#news","#news",,0.000128,22,2,0.526316,0.55,0
"#JusticeForHareem","#JusticeForHareem",,0.000133,23,2,0.538462,0.571429,0
28,28,,0.000823,23,1,1,1,21
"#UsmanMirza","#UsmanMirza",,0.00013,24,2,0.529412,0.555556,0
27,27,,0.001024,24,1,1,1,36
"#hangzahirjaffer","#hangzahirjaffer",,0.000126,25,2,0.518519,0.535714,0
26,26,,0.001527,25,1,1,1,91
"#ModelTownMassacre","#ModelTownMassacre",,0.000126,25,2,0.518519,0.535714,0
"#NoorNeedsJustice","#NoorNeedsJustice",,0.000123,26,4,0.318203,0.32205,0
23,23,,0.001057,26,3,0.466606,0.477756,18567
"#جیو_ہزاروں_سال_کپتان","#جیو_ہزاروں_سال_کپتان",,0.000121,38,4,0.2652,0.274017,0
20,20,,0.002272,38,3,0.36063,0.387191,9387
"#arynews","#arynews",,0.000124,27,2,0.514286,0.527778,0
19,19,,0.001929,27,1,1,1,153
"#GetWellSoonSkipper","#GetWellSoonSkipper",,0.000124,27,2,0.514286,0.527778,0
"#justiceforjawad","#justiceforjawad",,0.000123,28,2,0.510638,0.520833,0
18,18,,0.002532,28,1,1,1,276
"#MotorwayCase","#MotorwayCase",,0.000122,29,3,0.490566,0.50641,0
