Id,Label,timeset,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
"#noormukadam","#noormukadam",,3,0.009573,3,0.515699,0.543633,7031.425553
"#noormuqaddam","#noormuqaddam",,5,0.005969,4,0.509302,0.531583,2246.502015
35,35,,3,0.000303,4,0.340415,0.347539,0
"#JusticeForNoormukadam","#JusticeForNoormukadam",,2,0.001459,4,0.389911,0.4121,689.10835
34,34,,5,0.000459,4,0.349097,0.359209,0
"#zahirjaffer","#zahirjaffer",,3,0.018398,3,0.504608,0.564942,20496.174194
113,113,,3,0.000303,4,0.340415,0.347539,0
"#pakistan","#pakistan",,2,0.003394,4,0.496974,0.512303,643.865715
40,40,,5,0.000444,4,0.358429,0.371639,0
"#mullahs","#mullahs",,3,0.000722,4,0.399392,0.418316,18.88334
1,1,,0,0.11487,4,0.637864,0.718798,88161.637583
"#fitna","#fitna",,3,0.000647,4,0.399392,0.418316,9.44167
"#dajjal","#dajjal",,3,0.000563,4,0.340768,0.349061,0
"#asmatadamkhoor","#asmatadamkhoor",,3,0.000733,4,0.36848,0.385591,1.659171
4,4,,3,0.015992,4,0.501527,0.53171,7095.727543
"#zakirjaffer","#zakirjaffer",,3,0.000899,4,0.375,0.393962,2.50782
7,7,,3,0.002804,4,0.484513,0.499746,194.476351
"#justicefornoor","#justicefornoor",,3,0.00394,3,0.459762,0.488584,753.576792
28,28,,3,0.000371,4,0.430537,0.44825,0
"#hangzahirjaffer","#hangzahirjaffer",,3,0.001799,4,0.432806,0.457509,93.371622
16,16,,3,0.000371,4,0.430537,0.44825,0
"#Nonsense","#Nonsense",,3,0.000854,4,0.432806,0.452435,20.852844
"#Capital_punshiment","#Capital_punshiment",,3,0.000533,4,0.359606,0.374302,0
2,2,,1,0.043901,4,0.550251,0.596525,19941.915439
"#Oscar","#Oscar",,3,0.001062,4,0.366629,0.384323,2.168687
"#actor","#actor",,3,0.000995,4,0.366629,0.384323,1.626515
"#nations","#nations",,3,0.000928,4,0.366629,0.384323,1.084343
"#noormukaddam","#noormukaddam",,3,0.003094,3,0.457203,0.481989,544.340178
5,5,,2,0.003072,4,0.475742,0.491502,369.057245
"#Justicefornoor","#Justicefornoor",,3,0.00086,4,0.366629,0.384323,0.542172
"#zahirjaffar","#zahirjaffar",,3,0.000935,4,0.36848,0.387494,6.361283
"#mukaddams","#mukaddams",,3,0.00061,4,0.36,0.375317,0
"#darinda","#darinda",,3,0.000376,4,0.352846,0.364028,0
"#JusticeForNoor","#JusticeForNoor",,3,0.011241,3,0.5256,0.557839,9371.193738
"#JusticeforNoor","#JusticeforNoor",,2,0.002096,3,0.459441,0.479706,541.04705
3,3,,2,0.014651,4,0.513281,0.53932,6669.738705
"#AsmatAdamjee","#AsmatAdamjee",,2,0.001279,4,0.431385,0.453704,27.827413
"#JusticeSystemPakistan","#JusticeSystemPakistan",,2,0.000644,4,0.366425,0.381786,0.111422
"#Pakistan","#Pakistan",,0,0.010334,3,0.528135,0.559361,5099.341811
"#Justice","#Justice",,0,0.00179,4,0.472662,0.489599,38.200056
"#ZahirJaffer","#ZahirJaffer",,3,0.008453,4,0.467616,0.505961,5998.257408
"#IHC","#IHC",,3,0.000384,4,0.34984,0.360223,0
"#Scumbag","#Scumbag",,3,0.000508,4,0.362383,0.377347,0
"#PMTakeNotice4NoorMukadam","#PMTakeNotice4NoorMukadam",,3,0.000379,4,0.356871,0.369736,0
"#isbtoday","#isbtoday",,3,0.000656,4,0.410369,0.429858,2.752658
"#islamabad","#islamabad",,3,0.000583,4,0.357843,0.372019,0
"#murdercase","#murdercase",,3,0.001186,4,0.420345,0.442035,24.380385
"#AskerAward","#AskerAward",,3,0.000583,4,0.410112,0.429097,2.857625
"#noorneedjustice","#noorneedjustice",,3,0.000503,4,0.357065,0.370497,0
"#asmatadamjee","#asmatadamjee",,3,0.00067,4,0.362983,0.379122,0
"#jaffers","#jaffers",,3,0.000583,4,0.410112,0.429097,2.857625
"#media","#media",,3,0.000503,4,0.357065,0.370497,0
"#JusticeForNooorMukadam","#JusticeForNooorMukadam",,3,0.000741,4,0.417408,0.437722,0
"#ZahirJaffar","#ZahirJaffar",,2,0.001453,4,0.456567,0.476027,14.754128
"#Islamabad","#Islamabad",,5,0.001236,4,0.421694,0.44381,67.674507
"#justicedelayedisjusticedenied","#justicedelayedisjusticedenied",,3,0.000453,4,0.365,0.380137,0
"#thousandsolededsuns","#thousandsolededsuns",,3,0.000572,4,0.456567,0.470573,0.391876
"#OkaraIncident","#OkaraIncident",,3,0.000493,4,0.43082,0.449011,0
"#motorwayincident","#motorwayincident",,0,0.060406,3,0.700426,0.802892,96047.384159
"#400men","#400men",,3,0.002516,4,0.471983,0.490994,270.310195
"#PakistanMurdabad","#PakistanMurdabad",,3,0.000651,4,0.434811,0.453957,0
"#minarepakistan","#minarepakistan",,5,0.002501,4,0.477471,0.495053,246.207445
"#minarepakistanincident","#minarepakistanincident",,1,0.002945,4,0.481672,0.499239,318.186187
"#UsmanMirza","#UsmanMirza",,0,0.002796,3,0.49924,0.512177,250.492391
"#MinarePakistan","#MinarePakistan",,0,0.000618,4,0.457203,0.471588,0.34978
"#ayeshaakram","#ayeshaakram",,0,0.002277,4,0.467616,0.487316,190.120571
"#yesallmen","#yesallmen",,0,0.000545,4,0.433092,0.451547,0
46,46,,5,0.000372,4,0.358429,0.371512,0
"#NoorMukadam","#NoorMukadam",,3,0.011821,3,0.523923,0.557331,10587.812413
6,6,,2,0.002001,4,0.465957,0.481989,15.754414
10,10,,5,0.000634,4,0.440349,0.45827,0.27161
"#NoOneIsAboveTheLaw","#NoOneIsAboveTheLaw",,3,0.000539,4,0.353226,0.364789,0.338818
9,9,,1,0.001416,4,0.47063,0.485033,133.053511
"#NawazSharif","#NawazSharif",,3,0.001232,4,0.421965,0.443049,135.876004
"#Selfdefense","#Selfdefense",,1,0.00098,5,0.369101,0.38653,0
"#VAW","#VAW",,1,0.002351,4,0.413989,0.440512,253.398264
"#HARASSMENTRISK","#HARASSMENTRISK",,1,0.00092,5,0.369101,0.38653,0
"#womenempowerment","#womenempowerment",,1,0.00086,5,0.369101,0.38653,0
"#girlpower","#girlpower",,1,0.000799,5,0.369101,0.38653,0
"#MotorwayIncident","#MotorwayIncident",,2,0.003477,4,0.480263,0.500634,2990.171927
13,13,,4,0.001695,4,0.429412,0.449645,204.029735
"#justiceforquratulain","#justiceforquratulain",,5,0.001936,4,0.468616,0.486428,42.673961
12,12,,5,0.003013,4,0.465297,0.482496,253.741073
14,14,,3,0.00074,4,0.460729,0.474378,0.264946
"#khadijasiddiqi","#khadijasiddiqi",,5,0.000956,4,0.424419,0.44622,0.238208
"#acidattacks","#acidattacks",,5,0.000886,4,0.424419,0.44622,0.158805
"#naseembibi","#naseembibi",,5,0.00198,4,0.457203,0.477676,37.514382
"#DomesticViolenceBill","#DomesticViolenceBill",,5,0.000744,4,0.423871,0.445205,0
"#zainabansari","#zainabansari",,5,0.000903,4,0.453103,0.469305,1.355546
"#goatlivesmatter","#goatlivesmatter",,5,0.000838,4,0.453103,0.469305,0.903697
"#mukhtarmai","#mukhtarmai",,5,0.000772,4,0.453103,0.469305,0.451849
"#acidattack","#acidattack",,5,0.000705,4,0.423598,0.444444,0
"#cybercrime","#cybercrime",,0,0.001081,4,0.455301,0.472095,1.53904
"#rape","#rape",,0,0.00347,4,0.468951,0.490868,929.076011
"#WomensRights","#WomensRights",,0,0.001018,4,0.455301,0.472095,1.15428
"#auratmarch","#auratmarch",,0,0.000954,4,0.455301,0.472095,0.76952
"#feminism","#feminism",,0,0.00089,4,0.455301,0.472095,0.38476
"#metoo","#metoo",,0,0.000825,4,0.427456,0.449011,0
"#Motorwaycase","#Motorwaycase",,5,0.001138,5,0.3977,0.418366,532.116266
"#usmanmirza","#usmanmirza",,5,0.000555,5,0.340238,0.348478,0
36,36,,2,0.000316,5,0.280649,0.28861,0
94,94,,3,0.000304,4,0.335546,0.351091,0
61,61,,3,0.000304,4,0.335546,0.351091,0
