Id,Label,timeset,pageranks,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
we,we,,0.003446,0,3,0.568834,0.621729,89776.234667
will,will,,0.002577,0,3,0.555852,0.601281,22927.09525
97,97,,0.000052,0,4,0.473942,0.482273,0
keep,keep,,0.000291,2,3,0.5003,0.507883,155.49665
17,17,,0.000645,0,4,0.502413,0.509864,866.5514
fighting,fighting,,0.000184,1,4,0.485488,0.494778,4.634982
14,14,,0.00139,0,4,0.511168,0.52379,954.922674
for,for,,0.005606,4,3,0.625939,0.701601,174686.032474
107,107,,0.00005,0,4,0.473942,0.482353,0
justice,justice,,0.003613,0,3,0.573297,0.628331,95668.83559
139,139,,0.000081,3,4,0.473457,0.483193,8.331938
noor,noor,,0.001338,4,3,0.527816,0.554062,5582.80513
24,24,,0.000468,0,4,0.502413,0.510904,254.818171
muqaddam,muqaddam,,0.000284,1,3,0.500962,0.508003,193.302608
twitter,twitter,,0.000451,4,3,0.507185,0.516727,1022.897177
18,18,,0.001653,0,4,0.507989,0.517987,1582.171586
space,space,,0.000287,1,3,0.501203,0.508723,287.118535
with,with,,0.002823,0,3,0.553636,0.598159,66203.02186
34,34,,0.000171,0,4,0.495715,0.5009,0.008536
why,why,,0.001899,0,3,0.540558,0.57623,11999.069242
76,76,,0.000059,0,4,0.476599,0.484634,0.000172
have,have,,0.003202,0,3,0.570548,0.62413,45128.897904
78,78,,0.000094,0,4,0.486281,0.491737,0
you,you,,0.002614,0,3,0.55563,0.60084,30164.906207
82,82,,0.000092,0,4,0.473242,0.481993,0
stopped,stopped,,0.000247,0,3,0.5003,0.506523,13.856212
1,1,,0.091065,0,2,0.69906,0.784754,2786758.045403
covering,covering,,0.000122,0,3,0.485828,0.493077,0.024138
the,the,,0.01159,0,3,0.760175,0.842417,942853.407248
883,883,,0.000038,0,4,0.362615,0.37397,0
case,case,,0.002878,2,3,0.561851,0.610804,41018.028765
61,61,,0.000078,0,4,0.477912,0.486074,0.00489
initially,initially,,0.000119,0,3,0.485828,0.493077,0.024138
were,were,,0.00075,0,3,0.514007,0.530292,677.613071
40,40,,0.000167,0,4,0.493893,0.49904,0.5132
so,so,,0.003182,0,3,0.570235,0.623569,47617.204294
48,48,,0.000122,0,4,0.494303,0.49898,0.009005
active,active,,0.000115,0,3,0.485828,0.493077,0.012069
but,but,,0.002349,0,3,0.550853,0.593277,17617.295937
57,57,,0.000097,0,4,0.490924,0.495698,0.000227
now,now,,0.002045,4,3,0.542247,0.579592,16165.129064
6,6,,0.005489,1,4,0.524824,0.54876,19546.326369
see,see,,0.000978,0,3,0.519521,0.539816,2823.590079
7,7,,0.004312,3,3,0.523702,0.546299,18085.888136
just,just,,0.00172,4,3,0.537627,0.570948,6851.959084
silence,silence,,0.000108,0,3,0.485828,0.493077,0.012069
been,been,,0.002077,0,3,0.543805,0.581833,23716.432261
silenced,silenced,,0.000148,0,3,0.490693,0.497679,17.097981
3,3,,0.015906,2,3,0.547306,0.587075,130226.540949
by,by,,0.002899,0,3,0.561699,0.610804,38737.415403
55,55,,0.000124,4,4,0.493483,0.498019,0.001012
rich,rich,,0.000545,2,3,0.509792,0.522169,994.262258
43,43,,0.000137,0,4,0.495185,0.50006,0.044739
jaffersadamjee,jaffersadamjee,,0.000101,0,3,0.485828,0.493077,0.012069
or,or,,0.001692,0,3,0.535554,0.567827,6985.635193
9,9,,0.003472,3,4,0.514897,0.530952,7799.353284
lost,lost,,0.000115,0,3,0.486622,0.494038,0.192745
interest,interest,,0.000097,0,3,0.483011,0.490996,0
because,because,,0.000956,0,3,0.518228,0.537575,1870.660445
10,10,,0.002052,0,3,0.513057,0.526971,5310.684844
not,not,,0.003167,0,3,0.567671,0.619928,41662.660946
112,112,,0.00005,0,4,0.473834,0.482193,0
getting,getting,,0.000384,0,3,0.504726,0.514166,122.826984
enough,enough,,0.000452,0,3,0.507061,0.517607,304.002386
2,2,,0.035221,4,3,0.593305,0.657663,534804.68248
views,views,,0.000186,2,3,0.495067,0.502121,36.009674
what,what,,0.002261,0,3,0.549835,0.591277,19623.771189
54,54,,0.000096,4,4,0.491503,0.496198,0.001921
very,very,,0.000872,4,3,0.516237,0.533854,4163.66319
8,8,,0.002913,0,4,0.518035,0.536435,6656.861377
disappointed,disappointed,,0.000131,0,3,0.490924,0.497839,1.999548
in,in,,0.0074,4,3,0.658498,0.740856,367749.240481
72,72,,0.000131,4,4,0.490462,0.497379,20.671574
sharam,sharam,,0.000129,1,4,0.476708,0.486875,0.12402
5,5,,0.006039,1,3,0.525552,0.54982,33394.022332
izzat,izzat,,0.000128,1,4,0.476708,0.486875,0.121223
haya,haya,,0.000127,1,4,0.476708,0.486875,0.118427
should,should,,0.002344,0,3,0.550053,0.591797,29202.002602
68,68,,0.000069,0,4,0.484697,0.490956,0.000059
be,be,,0.004169,0,3,0.591619,0.655502,93540.302998
135,135,,0.000048,0,4,0.458903,0.470828,0.000604
as,as,,0.002342,0,3,0.552387,0.595718,20747.469993
80,80,,0.000057,0,4,0.484697,0.490396,0
applicable,applicable,,0.000123,1,4,0.476708,0.486875,0.085156
to,to,,0.008851,0,3,0.717485,0.803361,527107.116553
269,269,,0.000044,0,4,0.454992,0.467387,0
mensons,mensons,,0.000121,1,4,0.476708,0.486875,0.082389
womendaughters,womendaughters,,0.00012,1,4,0.476708,0.486875,0.079622
islamic,islamic,,0.000733,1,3,0.51388,0.530292,969.489509
republic,republic,,0.000414,1,3,0.505768,0.516607,190.080197
shouldn’t,shouldn’t,,0.000208,1,3,0.498564,0.505442,48.51803
citied,citied,,0.000115,1,4,0.476708,0.486875,0.068555
at,at,,0.002046,0,3,0.543096,0.580312,18437.890286
19,19,,0.000641,0,4,0.504115,0.512265,642.116018
convenience,convenience,,0.000113,1,4,0.476545,0.486675,0.405824
