Word,Count
the,520
to,504
and,426
in,370
a,320
of,309
this,238
you,235
is,229
on,221
for,212
trans,191
i,177
my,151
are,140
that,137
out,130
by,128
we,119
people,118
be,116
it,111
co,109
guest,108
host,108
from,96
available,91
all,91
transgender,89
check,86
not,81
her,81
or,80
as,77
will,75
if,75
with,74
please,74
via,74
your,73
year,72
lives,72
more,71
help,70
link,69
me,68
so,63
have,62
us,58
power,56
violence,55
bio,54
crystal,53
like,50
m,50
amp,50
was,49
amber,49
kym,49
our,49
day,48
need,48
support,48
who,47
am,47
has,45
2020,45
an,45
sex,45
at,44
episode,44
workers,43
do,43
know,42
stop,41
up,41
woman,41
she,37
im,37
share,37
love,37
get,37
podcasts,37
just,36
gender,36
after,36
their,36
what,35
full,35
seahorse,35
can,35
they,35
120,34
its,33
watch,33
fouad,33
recent,33
died,33
stream,32
clip,32
when,32
discusses,31
uptick,31
one,31
morgan,31
matter,31
would,31
new,31
about,31
black,31
sherm,31
anywhere,31
story,30
suicide,30
than,30
publicly,29
christmas,29
but,29
named,29
time,29
community,28
girl,28
donate,28
old,28
dec,28
school,27
transphobia,27
important,27
•,26
15,26
17,26
because,26
humiliated,26
lille,25
thank,25
france,25
should,24
there,24
live,24
see,24
much,24
against,24
cis,24
women,24
many,24
hashtag,23
being,23
today,23
killed,23
beautiful,23
celebrate,23
days,23
only,21
were,21
shot,21
feelings,21
video,21
every,21
how,20
say,20
—,20
way,19
streaming,19
❤️,19
him,19
still,19
5,19
really,19
censorship,19
could,19
always,18
never,18
member,18
safe,18
starting,18
wants,18
good,17
1221,17
pacific,17
human,17
1pm,17
any,17
puzzle,17
jumping,17
winters,17
runs,17
made,17
1200,17
raise,17
don’t,17
consecutive,17
men,17
completing,17
hate,16
country,16
vulnerable,16
here,16
consider,16
even,16
put,16
everyone,16
life,15
long,15
left,15
some,15
maya,15
other,15
learn,15
deserve,15
saying,14
holiday,14
now,14
stigma,14
happy,14
why,14
nonconforming,14
too,14
come,14
❄❄,14
rowling,14
last,14
that’s,13
them,13
through,13
sign,13
done,13
before,13
41,13
across,13
2019,13
25,13
making,13
yes,13
got,13
someone,13
podcast,13
saw,13
which,13
brothers,13
fatally,12
better,12
go,12
rise,12
statistics,12
little,12
557,12
fear,12
friend,12
coming,12
